Organization Name,Organization Type (Main Category),Organization Type (Sub-categories),Website,Country,State or Province,City,Street Address 1,Street Address 2,Postal Code,Contact First Name,Contact Last Name,Email,Organization Bio,Certified MWBE,Location
Liberty Green Logistics,Specialist Services,"Cable Pull-in,Certification Company,Diving Services,Heavy Lift Services,Logistics Planning & Management,O&M Management,O&M Support Services,O&M Work Contractor (Specialist),Offshore Logistics Provision,Offshore Transport Services (Heavy),Offshore Wind Worker Supply,Onshore Transport Services (Heavy),Other Logistics Services,Remote Monitoring and Control Services,Risk Assessment and DD Services,Supply Chain Management,Terminal Logistics Services,Turbine Commissioning Services,Turbine Installation",www.libertygreenlogistics.com,USA,New York,Lake Success,1979 Marcus Ave.,,11042,Timothy,Axelsson,taxelsson@libertymar.com,"Liberty Green Logistics LLC is a new vertical in the Liberty group of companies (Liberty). Liberty is headquartered in Lake Success NY and is a 100% Jones Act qualified entity with offices located throughout the US east coast and Gulf coast and international locations in the EU, Middle East and Asia. Liberty was formed in 1988 with 34 yearsâ€™ experience in all aspects of maritime transportation, end to end logistics, and US flag vessel ownership and operations. 

The Liberty Green consortium is created to provide a collaborative engagement with the supply chain in all states buying offshore wind electricity. We do this by seeking and qualifying viable entities that are engaged in offering services to the offshore wind industry and pitch these entities on the value of being stronger together towards the developer clients.

This consortium approach has attracted 17 companies to join our offshore wind supply chain consortium. Our supply chain partners that have joined the Liberty Green consortium provide services such as:
ï‚§	Port Terminal Services
ï‚§	Union Workforce at ports and onboard vessels
ï‚§	Heavy Lift Transport vessels
ï‚§	Heavy Lift Cranes & SPMTâ€™s
ï‚§	Freight Forwarding & Logistics
ï‚§	CTV services
ï‚§	BOP and Subsea services
ï‚§	Maritime training & certification
ï‚§	Safety and Security",No,POINT (-73.6932 40.75546)
LICengineering A/S,Consulting Services,Engineering (Structural); Engineering (Electrical); Engineering (Offshore Wind); Construction Support; Project Management; Logistics Planning & Management; Verification and Compliance,www.liceng.dk/,Denmark,Capital Region,Hellerup,Ehlersvej 24,,DK-2900,,,,"LICengineering is a design and consultancy company, working within the offshore and marine energy sector. Within offshore wind, LICengineering provides foundation and cable system (concept, FEED, detailed), analysis and planning of transport & installation and full client representation services covering all foundation types.",,
Linita Design & Manufacturing Corp.,Manufacturing and Fabrication Srvcs.,Blasting; Cranes and Lifting Equipment; Gearboxes; Hydraulics Systems; Painting; Metal Fabrication (General); Casting,www.linita.com,USA,New York,Lackawanna,1951 Hamburg Turnpike,Suite 24,14218,Sean,Greenhouse,,"Linita Design and Manufacturing engineers and manufacturers quality custom fabrications for a wide range of industries. Linita offers products and services including custom heavy fabrications, manufactured heavy press components, gears, gearboxes and housings, steel structures, hoist equipment, water control systems, and steel bases, bed plates, tanks, beams, etc. , mezzanines, columns, stairs, etc. Linita offers surface preparation (sandblasting) and painting services with specialized equipment.",,POINT (-78.85168 42.82756)
Lippolis Electric Inc.,Onshore Construction Services,Electrical Works (Electrician),www.lippoliselectric.com/,USA,New York,Pelham,25 Seventh Street,2nd Floor,10803,,,,"Electrical contractor for Westchester County and the surrounding area, providing residential & commercial services, energy efficient lighting, and electrical maintenance.",,POINT (-73.80545 40.92013)
Lipsky Enterprises Inc.,Consulting Services,Project Management,www.lipskyenterprises.com/,USA,New York,Bayport,814 Montauk Highway,,11705,,,,Lipsky Enterprises Inc. provides civil construction project management and related services.,,POINT (-73.05157 40.74665)
"LiRo Engineers, Inc.",Consulting Services,"Engineering (Civil),Engineering (Electrical),Engineering (Environmental),Engineering (Mechanical),Engineering (Structural),Environmental Consulting,Project Management",www.liro.com,USA,New York,Syosset,3 Aerial Way,,11791,Michael,"Bailey, PE",baileym@liro.com,"LiRo Engineers, Inc. (LiRo), a corporation headquartered in New York, with offices across the Northeast, has been providing engineering services, primarily for infrastructure improvement projects in the New York Metropolitan Area for over 35 years. Currently, LiRo has a staff of nearly 900 employees, including 116 licensed Professional Engineers, 20 Registered Architects, two Registered Landscape Architects and two Licensed Land Surveyors. LiRo offers professional services ranging from mechanical, electrical, plumbing, fire protection, site/civil, structural, telecom, and traffic engineering, to surveying/GIS, architecture, and construction support and inspection services. LiRo has gained a reputation as the firm of choice for many of New York's most demanding and sophisticated clients. Our reputation has been earned through our consistent delivery of the highest-level professional understanding of the technical, regulatory, operational, budgetary and scheduling requirements of design and construction, and our ability to translate that understanding into reliable, buildable design and construction documents, cost effective, timely and qualitative project delivery.",No,POINT (-73.51815 40.80087)
Lloyd's Register North America Inc.,Consulting Services,"Consultancy Company Partnership,Engineering (Electrical),Engineering (Offshore Wind),Other Renewable Energy Consulting,Risk Assessment,Technical Surveys (Perform),Verification and Compliance,Vessel Audits,Wind Resource and Layout",www.lr.org,USA,New York,New York,"50 Broad St, Suite 403",,10004,Graeme A.,Hyde,graeme.hyde@lr.org,"Lloyd's Register is one of the leading providers of professional services for Engineering and Technology improving safety and increasing the performance of critical infrastructure for clients in over 75 countries, including the USA.",No,POINT (-74.01141 40.7058)
Lloyd's Register North America Inc.,Other Organizations,Planning and strategy development; Energy resource assessment and modelling; Site investigations for ground and resource conditions; Infrastructure and port development support; Recognized Certified Verification Agent (CVA; Vessel and asset certification and Classification; Performance optimization and failure analysis; Technology qualification and development support; Risk management; Supply chain development assistance and assurance; Permit and consenting support; Owner's engineer and construction review; Grid connection services; Market development studies for governments and developers,www.lr.org,USA,New York,New York,"50 Broad St, Suite 403",,10004,Graeme A.,Hyde,graeme.hyde@lr.org,"Lloyd's Register is one of the leading providers of professional services for Engineering and Technology improving safety and increasing the performance of critical infrastructure for clients in over 75 countries, including the USA.",No,POINT (-74.01141 40.7058)
LOC Group,Consulting Services,Engineering (Offshore Wind); Vessel Audits; Marine Warranty Survey; Risk Assessment; Vessel Management Services,www.loc-group.com,USA,New York,New York,88 Pine Street,Wall Street Plaza,10005,William,Leschaeve,,"With more marine and engineering specialists in more locations around the globe, LOC Group balances exceptional responsiveness with on-the-ground expertise where it is needed. Since 1979, we have been tackling the most urgent and complex challenges across the international shipping, oil & gas, renewables and marine assurance and risk sectors.",,POINT (-74.00641 40.70543)
Locust Valley Electric Inc.,Onshore Construction Services,Electrical Works (Electrician),Not provided,USA,New York,Glen Cove,93 Glen Cove Avenue,,11542,,,,Locust Valley Electric Inc. is a local electrical contractor.,,POINT (-73.63476 40.85896)
LoDuca Associates Inc.,Onshore Construction Services,Civil Construction,Not provided,USA,New York,Blue Point,113 Division Avenue,,11715,,,,LoDuca Associates Inc. is a local civil contractor.,,POINT (-73.03632 40.76085)
Lomma Construction Corp,Onshore Construction Services,Marine Terminal Construction,Not provided,USA,New York,Staten Island,89 Wakefield Road,,10312,Patrick,Lomma,Plomma@aol.com,"Heavy construction, Crane Rental",No,POINT (-74.15519 40.53126)
Lomma Construction Corp,Other Organizations,Crane Rental,Not provided,USA,New York,Staten Island,89 Wakefield Road,,10312,Patrick,Lomma,Plomma@aol.com,"Heavy construction, Crane Rental",No,POINT (-74.15519 40.53126)
Lomma Crane & Rigging,Onshore Construction Services,"Cable Pull-in,Civil Construction,Full-scope Onshore Wind EPC,Manufacturing Plant Construction,Marine Terminal Construction,Mechanical Completion,Onshore Cable Installation,Onshore Substation EPC,Other Renewable Plant EPC,Overwater Civil Construction",www.jflommainc.com,USA,New Jersey,South Kearny,48 Third Street,,7032,Mike,Valjas,mvaljas@jflommainc.com,"Lomma Crane & Rigging is the premier provider of cranes, heavy hauling, rigging, and transport services in the Northeast.
With one of the largest rental fleets in the country JF Lomma Inc. can provide you with the right equipment or services to help get the job done efficiently and successfully.",No,POINT (-74.10763 40.73635)
"Long Island Precast, Inc.",Manufactured Products,Concrete Structures,www.LI-precast.com,USA,New York,Brookhaven,20 Stiriz Road,,11719,Michael,"Verruto, Jr",Mikejr@li-precast.com,"Established in 1985, Long Island Precast manufactures precast concrete products such as cable manholes, fire walls, sound walls and retaining walls.  We are distributors for ADS pipe company and EJ Foundry, a manufacturer of cast iron manhole hatches, covers and gratings.
We are a certified Veterans Owned Small Business.",No,POINT (-72.93452 40.77388)
LRQA,Consulting Services,"Feasibility Studies,Technical Surveys (Analyse),Technical Surveys (Perform),Technical Testing and Validation,Verification and Compliance",www.lrqa.com/us,USA,New York,New York,"50 Broad Street, Suite 403",,10004,Linda,Gibbons,linda.gibbons@lrqa.com,"At LRQA, we pride ourselves on delivering best in class inspection services against international codes, standards, and client specifications.
Our service portfolio
â€¢Inspection and certification to codes, standards, and regulations
â€¢Global supply chain assurance throughout the procurement process
â€¢Design appraisal across various sectors to assess engineering designs for oil and gas, petrochemical, power, renewables, containers and cranes.
â€¢Specialized inspection and certification of offshore and onshore containers and port cranes.",No,POINT (-74.01141 40.7058)
